university,year,coord,country,latitude,longitude
"Paris Observatory, PSL University",1667,Point(2.23337 48.8051),France,48.8051,2.23337
University of Innsbruck,1669,Point(11.383888888 47.263055555),Austria,47.263055555,11.383888888
University of Zagreb,1669,Point(15.970097222 45.810672222),Croatia,45.810672222,15.970097222
Petit Séminaire de Consolation,1670,Point(6.6064 47.1581),France,47.1581,6.6064
Catholic Faculty of Theology,1671,Point(15.9823242 45.8136871),Croatia,45.8136871,15.9823242
Royal Academy of Turin,1673,Point(7.688906 45.070077),Italy,45.070077,7.688906
Universidad de San Carlos de Guatemala,1676,Point(-90.5529 14.5829),Guatemala,14.5829,-90.5529
San Cristóbal of Huamanga University,1677,Point(-74.22 -13.148),Peru,-13.148,-74.22
Accademia Albertina,1678,Point(7.68944444 45.0675),Italy,45.0675,7.68944444
Greek Catholic Seminary in Zagreb,1681,Point(15.973313888 45.815202777),Croatia,45.815202777,15.973313888
College of Santa Cruz de Querétaro,1683,Point(-100.383333333 20.593055555),Mexico,20.593055555,-100.383333333
San Carlos and San Ambrosio Seminary,1689,Point(-82.3519 23.1418),Cuba,23.1418,-82.3519
National University of San Antonio Abad in Cuzco,1692,Point(-71.958611111 -13.521666666),Peru,-13.521666666,-71.958611111
Academy of Fine Arts Vienna,1692,Point(16.365103 48.201253),Austria,48.201253,16.365103
College of William & Mary,1693,Point(-76.708333333 37.270833333),United States,37.270833333,-76.708333333
Berlin University of the Arts,1696,Point(13.326944444 52.509166666),Germany,52.509166666,13.326944444
Theological College of Eger,1700,Point(20.3729869 47.901379),Hungary,47.901379,20.3729869
St. Petersburg Naval Institute,1701,Point(30.279467 59.935058),Russia,59.935058,30.279467
Yale University,1701,Point(-72.926666666 41.311111111),United States,41.311111111,-72.926666666
Pontifical Ecclesiastical Academy,1701,Point(12.47722222 41.89805556),Italy,41.89805556,12.47722222
University of Wrocław,1702,Point(17.033333333 51.113611111),Poland,51.113611111,17.033333333
Qiongtai Normal University,1705,Point(110.515857 19.97381),People's Republic of China,19.97381,110.515857
Collège Fontenelle de Rouen,1707,Point(1.10432 49.4442),France,49.4442,1.10432
Czech Technical University in Prague,1707,Point(14.388472222 50.102166666),Czech Republic,50.102166666,14.388472222
Universidad de San Buenaventura,1708,Point(-74.03002 4.75123),Colombia,4.75123,-74.03002
Mozhaysky Air Force Academy,1712,Point(30.2836 59.9564),Russia,59.9564,30.2836
Q2109625,1716,Point(9.933451 49.791154),Germany,49.791154,9.933451
Royal Military Academy of Mathematics and Fortification,1716,Point(2.181089 41.387669),Spain,41.387669,2.181089
Military Naval Academy,1717,Point(-8.70535 42.3946),Spain,42.3946,-8.70535
University of Cervera,1717,Point(1.27429 41.67062),Spain,41.67062,1.27429
Saint Petersburg Theological Academy,1721,Point(30.38305557 59.91750001),Russia,59.91750001,30.38305557
University of Burgundy,1722,Point(5.07083 47.3125),France,47.3125,5.07083
Seminario Diocesano de San Miguel (Orihuela),1722,Point(-0.947682 38.087843),Spain,38.087843,-0.947682
Seminari Diocesa de Lleida,1722,Point(0.619101884 41.611057813),Spain,41.611057813,0.619101884
University of Camerino,1723,Point(13.06855556 43.13588889),Italy,43.13588889,13.06855556
Saint Petersburg State University,1724,Point(30.298888888 59.941944444),Russia,59.941944444,30.298888888
Saint Mary's College of Quezon City,1725,Point(121.02485 14.634228),Philippines,14.634228,121.02485
Hiroshima Shudo University,1725,Point(132.405 34.43333333),Japan,34.43333333,132.405
University of Havana,1728,Point(-82.382033333 23.134302777),Cuba,23.134302777,-82.382033333
Universitätsmedizin Göttingen,1732,Point(9.94305556 51.55055556),Germany,51.55055556,9.94305556
Universidad de Guanajuato,1732,Point(-101.253098 21.017273),Mexico,21.017273,-101.253098
Naples Eastern University,1732,Point(14.255 40.845),Italy,40.845,14.255
College of San Fernando de Mexico,1734,Point(-99.14861 19.43944),Mexico,19.43944,-99.14861
University of Göttingen,1734,Point(9.93792 51.533979833),Germany,51.533979833,9.93792
College of San Fernando de Mexico,1734,Point(-99.14861 19.43944),New Spain,19.43944,-99.14861
University of Sopron,1735,Point(16.577222222 47.680277777),Hungary,47.680277777,16.577222222
University of Miskolc,1735,Point(20.765 48.079722222),Hungary,48.079722222,20.765
University of Pennsylvania,1740,Point(-75.193055555 39.953888888),United States,39.953888888,-75.193055555
"Royal Military Academy, Woolwich",1741,Point(0.0575 51.475),United Kingdom,51.475,0.0575
Friedrich-Alexander-Universität Erlangen-Nürnberg,1742,Point(11.00472236 49.600717498),Germany,49.600717498,11.00472236
University of Delaware,1743,Point(-75.752166666 39.679111111),United States,39.679111111,-75.752166666
TU Braunschweig,1745,Point(10.5297 52.2736),Germany,52.2736,10.5297
Princeton University,1746,Point(-74.656111111 40.345277777),United States,40.345277777,-74.656111111
École royale du génie de Mézières,1748,Point(4.72012 49.7615),France,49.7615,4.72012
Washington and Lee University,1749,Point(-79.44425 37.786583333),United States,37.786583333,-79.44425
Norwegian Military Academy,1750,Point(10.84680556 59.94780556),Norway,59.94780556,10.84680556
Accademia di Belle Arti di Venezia,1750,Point(12.3305 45.4286),Italy,45.4286,12.3305
Collegio Alberoni,1750,Point(9.725557 45.03529),Italy,45.03529,9.725557
The Robert Gordon University,1750,Point(-2.101361111 57.148030555),United Kingdom,57.148030555,-2.101361111
Theresian Military Academy,1751,Point(16.24543 47.80964),Austria,47.80964,16.24543
École Militaire,1751,Point(2.303611111 48.8525),France,48.8525,2.303611111
Naval Cadet Corps,1752,Point(29.756 59.995),Russian Empire,59.995,29.756
Naval Cadet Corps,1752,Point(29.756 59.995),Soviet Union,59.995,29.756
Kunstakademiets Arkitektskole,1754,Point(12.6039 55.6817),Denmark,55.6817,12.6039
Columbia University,1754,Point(-73.961944444 40.8075),United States,40.8075,-73.961944444
Moscow State University,1755,Point(37.530555555 55.7025),Russia,55.7025,37.530555555
Imperial Moscow University,1755,Point(37.6118 55.7554),Russian Empire,55.7554,37.6118
Seminary of Vienna,1758,Point(16.3556167 48.2220382),Austria,48.2220382,16.3556167
I.M. Sechenov First Moscow State Medical University,1758,Point(37.575 55.72805556),Russia,55.72805556,37.575
Frederick's University of Bützow,1760,Point(11.97661 53.847128),Germany,53.847128,11.97661
State Academy of Fine Arts Stuttgart,1761,Point(9.174288888 48.80015),Germany,48.80015,9.174288888
Episcopal Seminary of Asti,1763,Point(8.2013 44.9003),Italy,44.9003,8.2013
Academy of Fine Arts Leipzig,1764,Point(12.36783611 51.33340583),Germany,51.33340583,12.36783611
"Academy of Fine Arts, Verona",1764,Point(10.99299837 45.434797532),Italy,45.434797532,10.99299837
Dresden Academy of Fine Arts,1764,Point(13.74244444 51.05284167),Germany,51.05284167,13.74244444
Segovia Artillery Academy,1764,Point(-4.13218 40.95236),Spain,40.95236,-4.13218
Brown University,1765,Point(-71.403055555 41.826111111),United States,41.826111111,-71.403055555
Freiberg University of Mining and Technology,1765,Point(13.3407 50.918361111),Germany,50.918361111,13.3407
University of Veterinary Medicine Vienna,1765,Point(16.431388888 48.255277777),Austria,48.255277777,16.431388888
Rutgers University,1766,Point(-74.448055555 40.501666666),United States,40.501666666,-74.448055555
Rutgers University–New Brunswick,1766,Point(-74.448611111 40.5025),United States,40.5025,-74.448611111
Seminario maggiore di Bressanone,1767,Point(11.659142 46.715435),Italy,46.715435,11.659142
Hochschule für bildende Künste Hamburg,1767,Point(10.03132 53.56757),Germany,53.56757,10.03132
University of Malta,1769,Point(14.48333333 35.9025),Malta,35.9025,14.48333333
Dartmouth College,1769,Point(-72.288333333 43.703333333),United States,43.703333333,-72.288333333
College of Charleston,1770,Point(-79.938055555 32.784166666),United States,32.784166666,-79.938055555
Kunstakademie Düsseldorf,1773,Point(6.77365 51.23054),Germany,51.23054,6.77365
Colmar Military School,1773,Point(7.355591666 48.075080555),France,48.075080555,7.355591666
Pontifical Lateran University,1773,Point(12.503611111 41.885277777),Italy,41.885277777,12.503611111
Saint Petersburg Mining University,1773,Point(30.268366 59.930061),Russia,59.930061,30.268366
Moscow State Academy of Choreography,1773,Point(37.58067 55.721463),Russia,55.721463,37.58067
Turkish Naval Academy,1773,Point(29.2633 40.8103),Turkey,40.8103,29.2633
Istanbul Technical University,1773,Point(29.025 41.105),Turkey,41.105,29.025
Eszterházy Károly Catholic University,1774,Point(20.3729403 47.9003597),Hungary,47.9003597,20.3729403
Clausthal University of Technology,1775,Point(10.334444444 51.804722222),Germany,51.804722222,10.334444444
Babeș-Bolyai University,1776,Point(23.591111111 46.767777777),Romania,46.767777777,23.591111111
Hochschule für Gestaltung Schwäbisch Gmünd,1776,Point(9.793727 48.793244),Germany,48.793244,9.793727
